Month,Receiver_District,Receiver_Stress,Donor_District,Donor_Stress,Priority
Oct,rewa,2.27,jodhpur,0.19,CRITICAL
Oct,barabanki,2.27,ganjam,0.19,CRITICAL
Oct,udupi,2.26,bhavnagar,0.19,CRITICAL
Oct,bastar,2.26,north,0.19,CRITICAL
Oct,saran,2.26,yamunanagar,0.19,CRITICAL
Oct,rajouri,2.26,sangli,0.19,CRITICAL
Oct,chhindwara,2.26,dharwad,0.19,CRITICAL
Oct,chhindwara,2.26,gajapati,0.19,CRITICAL
Oct,katihar,2.26,dima hasao,0.19,CRITICAL
Oct,sawai madhopur,2.26,puri,0.19,CRITICAL
Oct,hojai,2.26,amravati,0.19,CRITICAL
Oct,thoothukkudi,2.26,lakhisarai,0.19,CRITICAL
Oct,saraikelakharsawan,2.26,kathua,0.19,CRITICAL
Oct,darrang,2.26,thoubal,0.19,CRITICAL
Oct,purba medinipur,2.26,jhargram,0.19,CRITICAL
Oct,sirsa,2.26,diu,0.19,CRITICAL
Oct,poonch,2.26,deeg,0.19,CRITICAL
Oct,thrissur,2.26,mohla-manpur-ambagarh chouki,0.19,CRITICAL
Oct,west,2.26,ramban,0.19,CRITICAL
Oct,kota,2.26,east khasi hills,0.19,CRITICAL
Oct,rajouri,2.26,balodabazar bhatapara,0.19,CRITICAL
Oct,mayiladuthurai,2.26,bara banki,0.19,CRITICAL
Oct,mungeli,2.26,shrawasti,0.19,CRITICAL
Oct,garhwa,2.26,kangra,0.19,CRITICAL
Oct,dhanbad,2.26,cuddalore,0.19,CRITICAL
Oct,tiruvannamalai,2.26,udhampur,0.19,CRITICAL
Oct,east jaintia hills,2.25,nuh,0.19,CRITICAL
Oct,ambala,2.25,budgam,0.19,CRITICAL
Oct,bikaner,2.25,fazilka,0.19,CRITICAL
Oct,madhubani,2.25,rohtas,0.19,CRITICAL
Oct,bhandara,2.25,balodabazar-bhatapara,0.19,CRITICAL
Oct,jagtial,2.25,central,0.19,CRITICAL
Oct,angul,2.25,pratapgarh,0.19,CRITICAL
Oct,aligarh,2.25,siwan,0.19,CRITICAL
Oct,gumla,2.25,bhadrak,0.19,CRITICAL
Oct,thanjavur,2.25,nayagarh,0.19,CRITICAL
Oct,samba,2.25,theni,0.19,CRITICAL
Oct,chandigarh,2.25,east,0.19,CRITICAL
Oct,amreli,2.25,nellore,0.19,CRITICAL
Oct,kolar,2.25,chandigarh,0.19,CRITICAL
Oct,kottayam,2.25,lohit,0.19,CRITICAL
Oct,shamator,2.25,east garo hills,0.19,CRITICAL
Oct,siaha,2.25,khordha,0.19,CRITICAL
Oct,shamator,2.25,kottayam,0.19,CRITICAL
Oct,shi yomi,2.25,vidisha,0.19,CRITICAL
Oct,shamator,2.25,keonjhar,0.19,CRITICAL
Oct,thoothukkudi,2.25,kollam,0.19,CRITICAL
Oct,rajanna sircilla,2.25,mumbai suburban,0.19,CRITICAL
Oct,east,2.25,shimla,0.2,CRITICAL
Oct,kumuram bheem asifabad,2.25,tirap,0.2,CRITICAL
Oct,sahebganj,2.25,dimapur,0.2,CRITICAL
Oct,banka,2.25,kulgam,0.2,CRITICAL
Oct,mulugu,2.25,sehore,0.2,CRITICAL
Oct,chhatrapati sambhajinagar,2.25,jamnagar,0.2,CRITICAL
Oct,karimnagar,2.25,sribhumi,0.2,CRITICAL
Oct,imphal west,2.25,baksa,0.2,CRITICAL
Oct,nuh,2.25,jamui,0.2,CRITICAL
Oct,kalaburagi,2.24,kokrajhar,0.2,CRITICAL
Oct,jalgaon,2.24,bhadradri kothagudem,0.2,CRITICAL
Oct,firozabad,2.24,wayanad,0.2,CRITICAL
Oct,jalgaon,2.24,khordha,0.2,CRITICAL
Oct,kishanganj,2.24,malda,0.2,CRITICAL
Oct,bharatpur,2.24,mau,0.2,CRITICAL
Oct,lower dibang valley,2.24,kancheepuram,0.2,CRITICAL
Oct,dhenkanal,2.24,shravasti,0.2,CRITICAL
Oct,kendrapara,2.24,lakshadweep,0.2,CRITICAL
Oct,mahendragarh,2.24,harda,0.2,CRITICAL
Oct,bhandara,2.24,hingoli,0.2,CRITICAL
Oct,gumla,2.24,aizawl,0.2,CRITICAL
Oct,bijapur,2.24,unakoti,0.2,CRITICAL
Oct,nuapada,2.24,bharuch,0.2,CRITICAL
Oct,barwani,2.24,chatra,0.2,CRITICAL
Oct,hathras,2.24,adilabad,0.2,CRITICAL
Oct,mandla,2.24,seoni,0.2,CRITICAL
Oct,darjeeling,2.24,bengaluru south,0.2,CRITICAL
Oct,reasi,2.24,hapur,0.2,CRITICAL
Oct,wokha,2.24,doda,0.2,CRITICAL
Oct,chittorgarh,2.23,tiruvannamalai,0.2,CRITICAL
Oct,longleng,2.23,sivaganga,0.2,CRITICAL
Oct,chandrapur,2.23,ernakulam,0.2,CRITICAL
Oct,durg,2.23,sonitpur,0.2,CRITICAL
Oct,unnao,2.23,gurugram,0.2,CRITICAL
Oct,sangrur,2.23,kolhapur,0.2,CRITICAL
Oct,konaseema,2.23,faridabad,0.2,CRITICAL
Oct,sepahijala,2.22,new delhi,0.2,CRITICAL
Oct,sribhumi,2.22,khairagarh-chhuikhadan-gandai,0.2,CRITICAL
Oct,eluru,2.22,south east,0.2,CRITICAL
Oct,ranga reddy,2.22,dr br ambedkar konaseema,0.2,CRITICAL
Oct,barmer,2.22,firozabad,0.2,CRITICAL
Oct,pashchim champaran,2.22,surat,0.2,CRITICAL
Oct,bengaluru south,2.22,chhindwara,0.2,CRITICAL
Oct,wardha,2.22,chandrapur,0.2,CRITICAL
Oct,dakshina kannada,2.22,mayurbhanj,0.2,CRITICAL
Oct,ranipet,2.22,cuttack,0.2,CRITICAL
Oct,tawang,2.22,jhajjar,0.2,CRITICAL
Oct,mokokchung,2.22,pune,0.2,CRITICAL
Oct,prayagraj,2.22,kolkata,0.2,CRITICAL
Oct,bankura,2.22,agra,0.2,CRITICAL
Oct,bhagalpur,2.22,kumuram bheem asifabad,0.2,CRITICAL
Oct,kaushambi,2.22,bareilly,0.2,CRITICAL
Oct,changlang,2.22,botad,0.2,CRITICAL
Oct,west,2.22,kodagu,0.2,CRITICAL
Oct,chhatarpur,2.22,dima hasao,0.2,CRITICAL
Oct,korba,2.22,east jaintia hills,0.2,CRITICAL
Oct,mangan,2.22,kanniyakumari,0.2,CRITICAL
Oct,umaria,2.22,rewa,0.2,CRITICAL
Oct,gwalior,2.22,mumbai,0.2,CRITICAL
Oct,lakhimpur kheri,2.22,porbandar,0.2,CRITICAL
Oct,papum pare,2.22,narmadapuram,0.2,CRITICAL
Oct,hisar,2.22,kalahandi,0.2,CRITICAL
Oct,bongaigaon,2.22,barmer,0.2,CRITICAL
Oct,jayashankar bhupalapally,2.22,purulia,0.2,CRITICAL
Oct,baramulla,2.22,chennai,0.2,CRITICAL
Oct,samba,2.21,ashoknagar,0.21,CRITICAL
Oct,phek,2.21,balasore,0.21,CRITICAL
Oct,ujjain,2.21,bathinda,0.21,CRITICAL
Oct,dhar,2.21,south garo hills,0.21,CRITICAL
Oct,una,2.21,deoghar,0.21,CRITICAL
Oct,krishnagiri,2.21,kullu,0.21,CRITICAL
Oct,korea,2.21,pashchim champaran,0.21,CRITICAL
Oct,kalahandi,2.21,angul,0.21,CRITICAL
Oct,basti,2.21,west godavari,0.21,CRITICAL
Oct,haveri,2.21,karaikal,0.21,CRITICAL
Oct,ajmer,2.21,bhopal,0.21,CRITICAL
Oct,buxar,2.21,tuensang,0.21,CRITICAL
Oct,jaipur,2.21,jamnagar,0.21,CRITICAL
Oct,vellore,2.21,khairagarh chhuikhadan gandai,0.21,CRITICAL
Oct,hojai,2.21,hooghly,0.21,CRITICAL
Oct,krishnagiri,2.21,vaishali,0.21,CRITICAL
Oct,kurung kumey,2.21,bikaner,0.21,CRITICAL
Oct,longleng,2.21,tenkasi,0.21,CRITICAL
Oct,thoothukkudi,2.21,jehanabad,0.21,CRITICAL
Oct,sitamarhi,2.21,puducherry,0.21,CRITICAL
Oct,shamli,2.21,palwal,0.21,CRITICAL
Oct,pathanamthitta,2.2,shahdara,0.21,CRITICAL
Oct,raisen,2.2,dangs,0.21,CRITICAL
Oct,bundi,2.2,rampur,0.21,CRITICAL
Oct,bharatpur,2.2,baghpat,0.21,CRITICAL
Oct,west garo hills,2.2,bilaspur,0.21,CRITICAL
Oct,jhabua,2.2,anakapalli,0.21,CRITICAL
Oct,jalaun,2.2,sirmaur,0.21,CRITICAL
Oct,sambhal,2.2,auraiya,0.21,CRITICAL
Oct,kondagaon,2.2,vijayanagara,0.21,CRITICAL
Oct,champawat,2.2,ambala,0.21,CRITICAL
Oct,medak,2.2,gir somnath,0.21,CRITICAL
Oct,goalpara,2.2,wayanad,0.21,CRITICAL
Oct,ayodhya,2.2,barabanki,0.21,CRITICAL
Oct,samastipur,2.2,aligarh,0.21,CRITICAL
Oct,sangrur,2.2,diu,0.21,CRITICAL
Oct,nizamabad,2.2,bajali,0.21,CRITICAL
Oct,aligarh,2.2,tiruppur,0.21,CRITICAL
Oct,chumoukedima,2.2,giridih,0.21,CRITICAL
Oct,papum pare,2.2,bapatla,0.21,CRITICAL
Oct,barmer,2.2,cuttack,0.21,CRITICAL
Oct,narayanpet,2.2,tapi,0.21,CRITICAL
Oct,gaurela-pendra-marwahi,2.2,surat,0.21,CRITICAL
Oct,jhansi,2.2,gajapati,0.21,CRITICAL
Oct,moradabad,2.2,jangoan,0.21,CRITICAL
Oct,kasaragod,2.2,khairagarh chhuikhadan gandai,0.21,CRITICAL
Oct,eastsinghbhum,2.2,khairagarh chhuikhadan gandai,0.21,CRITICAL
Oct,paschim medinipur,2.2,chhatarpur,0.21,CRITICAL
Oct,parbhani,2.2,north east,0.21,CRITICAL
Oct,bundi,2.2,jangaon,0.21,CRITICAL
Oct,thane,2.2,erode,0.21,CRITICAL
Oct,jaipur,2.2,agar-malwa,0.21,CRITICAL
Oct,thiruvarur,2.2,chirang,0.21,CRITICAL
Oct,tiruchirappalli,2.2,hazaribagh,0.21,CRITICAL
Oct,barwani,2.19,hoshiarpur,0.21,CRITICAL
Oct,surat,2.19,nawada,0.21,CRITICAL
Oct,kolhapur,2.19,khargone west nimar,0.21,CRITICAL
Oct,wayanad,2.19,west khasi hills,0.21,CRITICAL
Oct,thane,2.19,mamit,0.21,CRITICAL
Oct,gondia,2.19,niwari,0.21,CRITICAL
Oct,kolkata,2.19,gautam buddha nagar,0.21,CRITICAL
Oct,beed,2.19,patna,0.21,CRITICAL
Oct,majuli,2.19,north garo hills,0.22,CRITICAL
Oct,malappuram,2.19,barnala,0.22,CRITICAL
Oct,mancherial,2.19,munger,0.22,CRITICAL
Oct,bijapur,2.19,palakkad,0.22,CRITICAL
Oct,south garo hills,2.19,giridih,0.22,CRITICAL
Oct,mathura,2.19,shamli,0.22,CRITICAL
Oct,narayanpet,2.19,narmada,0.22,CRITICAL
Oct,chatra,2.19,kaithal,0.22,CRITICAL
Oct,mysuru,2.19,kheri,0.22,CRITICAL
Oct,east siang,2.19,kamareddy,0.22,CRITICAL
Oct,chumoukedima,2.19,kalimpong,0.22,CRITICAL
Oct,karbi anglong,2.19,phek,0.22,CRITICAL
Oct,fazilka,2.19,mathura,0.22,CRITICAL
Oct,bhandara,2.19,tiruchirappalli,0.22,CRITICAL
Oct,una,2.19,thrissur,0.22,CRITICAL
Oct,sivaganga,2.19,kurukshetra,0.22,CRITICAL
Oct,ferozepur,2.19,kozhikode,0.22,CRITICAL
Oct,udaipur,2.19,sitamarhi,0.22,CRITICAL
Oct,aligarh,2.18,nandyal,0.22,CRITICAL
Oct,jalpaiguri,2.18,dindigul,0.22,CRITICAL
Oct,bankura,2.18,bilaspur,0.22,CRITICAL
Oct,jagatsinghapur,2.18,balrampur,0.22,CRITICAL
Oct,kamareddy,2.18,south 24 parganas,0.22,CRITICAL
Oct,dangs,2.18,purba bardhaman,0.22,CRITICAL
Oct,nainital,2.18,thiruvananthapuram,0.22,CRITICAL
Oct,paschim bardhaman,2.18,arwal,0.22,CRITICAL
Oct,lower dibang valley,2.18,dangs,0.22,CRITICAL
Oct,firozabad,2.18,tirap,0.22,CRITICAL
Oct,pudukkottai,2.18,mohla-manpur-ambagarh chouki,0.22,CRITICAL
Oct,lakhimpur kheri,2.18,anjaw,0.22,CRITICAL
Oct,agra,2.18,anjaw,0.22,CRITICAL
Oct,medchal malkajgiri,2.18,meluri,0.22,CRITICAL
Oct,moga,2.18,indore,0.22,CRITICAL
Oct,chengalpattu,2.18,sonitpur,0.22,CRITICAL
Oct,lalitpur,2.18,rohtak,0.22,CRITICAL
Oct,north garo hills,2.18,rajanna sircilla,0.22,CRITICAL
Oct,gyalshing,2.18,godda,0.22,CRITICAL
Oct,hathras,2.18,purbi champaran,0.22,CRITICAL
Oct,shajapur,2.18,gadag,0.22,CRITICAL
Oct,gajapati,2.18,amroha,0.22,CRITICAL
Oct,sabar kantha,2.18,mandya,0.22,CRITICAL
Oct,lucknow,2.18,bhojpur,0.22,CRITICAL
Oct,bapatla,2.18,arwal,0.22,CRITICAL
Oct,kallakurichi,2.18,malda,0.22,CRITICAL
Oct,raigad,2.18,kolar,0.23,CRITICAL
Oct,mon,2.17,shahid bhagat singh nagar,0.23,CRITICAL
Oct,pune,2.17,khowai,0.23,CRITICAL
Oct,ashoknagar,2.17,gaya,0.23,CRITICAL
Oct,baksa,2.17,howrah,0.23,CRITICAL
Oct,sangli,2.17,sitamarhi,0.23,CRITICAL
Oct,korea,2.17,barwani,0.23,CRITICAL
Oct,mahesana,2.17,thiruvananthapuram,0.23,CRITICAL
Oct,raichur,2.17,kulgam,0.23,CRITICAL
Oct,mayurbhanj,2.17,nalgonda,0.23,CRITICAL
Oct,nandurbar,2.17,nizamabad,0.23,CRITICAL
Oct,upper subansiri,2.17,alirajpur,0.23,CRITICAL
Oct,kollam,2.17,dakshin dinajpur,0.23,CRITICAL
Oct,tikamgarh,2.17,gaurela pendra marwahi,0.23,CRITICAL
Oct,anakapalli,2.17,mauganj,0.23,CRITICAL
Oct,muzaffarnagar,2.17,ramanathapuram,0.23,CRITICAL
Oct,shahdara,2.17,karnal,0.23,CRITICAL
Oct,churachandpur,2.17,leh,0.23,CRITICAL
Oct,golaghat,2.17,north goa,0.23,CRITICAL
Oct,pratapgarh,2.17,rohtas,0.23,CRITICAL
Oct,sonbhadra,2.17,hisar,0.23,CRITICAL
Oct,rohtas,2.17,south,0.23,CRITICAL
Oct,jayashankar bhupalpally,2.17,ranipet,0.23,CRITICAL
Oct,ranipet,2.17,jagitial,0.23,CRITICAL
Oct,kaimur (bhabua),2.17,pathanamthitta,0.23,CRITICAL
Oct,kokrajhar,2.17,papum pare,0.23,CRITICAL
Oct,mulugu,2.17,krishna,0.23,CRITICAL
Oct,thiruvananthapuram,2.16,ratnagiri,0.23,CRITICAL
Oct,sonitpur,2.16,narmada,0.23,CRITICAL
Oct,tirunelveli,2.16,bahraich,0.23,CRITICAL
Oct,south tripura,2.16,east singhbhum,0.23,CRITICAL
Oct,rampur,2.16,kasaragod,0.23,CRITICAL
Oct,keonjhar,2.16,amritsar,0.23,CRITICAL
Oct,yavatmal,2.16,jogulamba gadwal,0.23,CRITICAL
Oct,phek,2.16,raigarh,0.23,CRITICAL
Oct,tirupathur,2.16,kollam,0.23,CRITICAL
Oct,balangir,2.16,deeg,0.23,CRITICAL
Oct,palakkad,2.16,jogulamba gadwal,0.23,CRITICAL
Oct,eastsinghbhum,2.16,thane,0.23,CRITICAL
Oct,bagalkote,2.16,pratapgarh,0.23,CRITICAL
Oct,ajmer,2.16,serchhip,0.23,CRITICAL
Oct,khargone (west nimar),2.16,cuttack,0.23,CRITICAL
Oct,thiruvarur,2.16,karur,0.23,CRITICAL
Oct,purnia,2.16,north east,0.23,CRITICAL
Oct,thane,2.16,khandwa east nimar,0.23,CRITICAL
Oct,west tripura,2.15,etah,0.23,CRITICAL
Oct,harda,2.15,gaurela pendra marwahi,0.23,CRITICAL
Oct,perambalur,2.15,patna,0.23,CRITICAL
Oct,hanumangarh,2.15,jalpaiguri,0.23,CRITICAL
Oct,uttar bastar kanker,2.15,chittorgarh,0.23,CRITICAL
Oct,jharsuguda,2.15,paschim bardhaman,0.23,CRITICAL
Oct,botad,2.15,virudhunagar,0.23,CRITICAL
Oct,jhansi,2.15,hoshiarpur,0.24,CRITICAL
Oct,guna,2.15,latur,0.24,CRITICAL
Oct,kallakurichi,2.15,agar malwa,0.24,CRITICAL
Oct,tuensang,2.15,muzaffarpur,0.24,CRITICAL
Oct,baghpat,2.15,bhagalpur,0.24,CRITICAL
Oct,barabanki,2.15,muzaffarnagar,0.24,CRITICAL
Oct,srinagar,2.15,rajgarh,0.24,CRITICAL
Oct,pashchim champaran,2.15,khandwa east nimar,0.24,CRITICAL
Oct,hamirpur,2.15,haridwar,0.24,CRITICAL
Oct,gariyaband,2.15,east singhbhum,0.24,CRITICAL
Oct,sahebganj,2.15,north 24 parganas,0.24,CRITICAL
Oct,saran,2.15,malkangiri,0.24,CRITICAL
Oct,suryapet,2.15,karimnagar,0.24,CRITICAL
Oct,karbi anglong,2.15,datia,0.24,CRITICAL
Oct,west tripura,2.14,sirsa,0.24,CRITICAL
Oct,pulwama,2.14,angul,0.24,CRITICAL
Oct,hardoi,2.14,jhajjar,0.24,CRITICAL
Oct,pauri garhwal,2.14,deogarh,0.24,CRITICAL
Oct,gangtok,2.14,jaipur,0.24,CRITICAL
Oct,dhar,2.14,cachar,0.24,CRITICAL
Oct,alipurduar,2.14,jagatsinghapur,0.24,CRITICAL
Oct,biswanath,2.14,sonipat,0.24,CRITICAL
Oct,eastern west khasi hills,2.14,kurung kumey,0.24,CRITICAL
Oct,east khasi hills,2.14,godda,0.24,CRITICAL
Oct,sepahijala,2.14,malerkotla,0.24,CRITICAL
Oct,ludhiana,2.14,haridwar,0.24,CRITICAL
Oct,khordha,2.14,lawngtlai,0.24,CRITICAL
Oct,araria,2.14,west singhbhum,0.24,CRITICAL
Oct,anantnag,2.14,bilaspur,0.24,CRITICAL
Oct,dhanbad,2.14,koppal,0.24,CRITICAL
Oct,bengaluru urban,2.14,charaideo,0.24,CRITICAL
Oct,belagavi,2.14,kendrapara,0.24,CRITICAL
Oct,chandigarh,2.14,ahmedabad,0.24,CRITICAL
Oct,theni,2.14,anjaw,0.24,CRITICAL
Oct,ambedkar nagar,2.14,konaseema,0.24,CRITICAL
Oct,hyderabad,2.14,nalanda,0.24,CRITICAL
Oct,phek,2.14,vaishali,0.24,CRITICAL
Oct,nalgonda,2.14,neemuch,0.24,CRITICAL
Oct,east siang,2.14,wayanad,0.24,CRITICAL
Oct,kalaburagi,2.14,kohima,0.24,CRITICAL
Oct,balrampur-ramanujganj,2.14,gautam buddha nagar,0.24,CRITICAL
Oct,pulwama,2.14,bhadrak,0.24,CRITICAL
Oct,idukki,2.14,coimbatore,0.24,CRITICAL
Oct,begusarai,2.14,south west,0.25,CRITICAL
Oct,new delhi,2.14,sahebganj,0.25,CRITICAL
Oct,mahbubnagar,2.13,annamayya,0.25,CRITICAL
Oct,mancherial,2.13,bharatpur,0.25,CRITICAL
Oct,doda,2.13,bhagalpur,0.25,CRITICAL
Oct,pashchim champaran,2.13,siwan,0.25,CRITICAL
Oct,south west khasi hills,2.13,gajapati,0.25,CRITICAL
Oct,palwal,2.13,saharanpur,0.25,CRITICAL
Oct,korea,2.13,solan,0.25,CRITICAL
Oct,sepahijala,2.13,sambhal,0.25,CRITICAL
Oct,tenkasi,2.13,papum pare,0.25,CRITICAL
Oct,raigarh,2.13,sambhal,0.25,CRITICAL
Oct,gondia,2.13,raigad,0.25,CRITICAL
Oct,nagarkurnool,2.13,madhubani,0.25,CRITICAL
Oct,sribhumi,2.13,wanaparthy,0.25,CRITICAL
Oct,buldhana,2.13,north,0.25,CRITICAL
Oct,rajnandgaon,2.13,sivasagar,0.25,CRITICAL
Oct,dharwad,2.13,panipat,0.25,CRITICAL
Oct,peddapalli,2.13,saharsa,0.25,CRITICAL
Oct,dhule,2.13,mahesana,0.25,CRITICAL
Oct,unakoti,2.13,jhargram,0.25,CRITICAL
Oct,solapur,2.13,north west,0.25,CRITICAL
Oct,mumbai suburban,2.13,kishanganj,0.25,CRITICAL
Oct,mahbubnagar,2.13,sas nagar,0.25,CRITICAL
Oct,sirohi,2.12,nalanda,0.25,CRITICAL
Oct,lalitpur,2.12,koppal,0.25,CRITICAL
Oct,kheda,2.12,manendragarh-chirmiri-bharatpur,0.25,CRITICAL
Oct,morbi,2.12,sakti,0.25,CRITICAL
Oct,palghar,2.12,south east,0.25,CRITICAL
Oct,sri potti sriramulu nellore,2.12,mohla manpur ambagarh chouki,0.25,CRITICAL
Oct,mau,2.12,s.a.s nagar,0.25,CRITICAL
Oct,lahaul and spiti,2.12,shamator,0.25,CRITICAL
Oct,khairagarh chhuikhadan gandai,2.12,kamle,0.25,CRITICAL
Oct,bemetara,2.12,kamle,0.25,CRITICAL
Oct,hingoli,2.12,chhotaudepur,0.25,CRITICAL
Oct,jhabua,2.12,thoothukkudi,0.25,CRITICAL
Oct,rajkot,2.12,junagadh,0.25,CRITICAL
Oct,jalaun,2.12,ri bhoi,0.25,CRITICAL
Oct,kiphire,2.12,ri bhoi,0.25,CRITICAL
Oct,pratapgarh,2.12,kamrup metro,0.25,CRITICAL
Oct,unakoti,2.12,upper subansiri,0.25,CRITICAL
Oct,damoh,2.12,south east,0.25,CRITICAL
Oct,katni,2.12,south east,0.25,CRITICAL
Oct,datia,2.12,junagadh,0.25,CRITICAL
Oct,banswara,2.11,mandi,0.25,CRITICAL
Oct,solan,2.11,nagaon,0.25,CRITICAL
Oct,sivaganga,2.11,biswanath,0.25,CRITICAL
Oct,dakshin dinajpur,2.11,jajpur,0.25,CRITICAL
Oct,thanjavur,2.11,guntur,0.25,CRITICAL
Oct,rohtas,2.11,moradabad,0.25,CRITICAL
Oct,shaheed bhagat singh nagar,2.11,parvathipuram manyam,0.25,CRITICAL
Oct,kolkata,2.11,south west,0.25,CRITICAL
Oct,sahebganj,2.11,samastipur,0.25,CRITICAL
Oct,barpeta,2.11,balrampur ramanujganj,0.25,CRITICAL
Oct,dehradun,2.11,valsad,0.25,CRITICAL
Oct,porbandar,2.11,new delhi,0.25,CRITICAL
Oct,porbandar,2.11,saharsa,0.25,CRITICAL
Oct,palamu,2.11,khammam,0.25,CRITICAL
Oct,farrukhabad,2.11,jharsuguda,0.25,CRITICAL
Oct,ranipet,2.11,palnadu,0.25,CRITICAL
Oct,puducherry,2.11,hooghly,0.25,CRITICAL
Oct,champawat,2.11,east garo hills,0.25,CRITICAL
Oct,rajanna sircilla,2.11,west kameng,0.25,CRITICAL
Oct,chhindwara,2.11,dhubri,0.25,CRITICAL
Oct,jehanabad,2.11,chamarajanagar,0.25,CRITICAL
Oct,gondia,2.11,east kameng,0.25,CRITICAL
Oct,chandrapur,2.1,kachchh,0.26,CRITICAL
Oct,mathura,2.1,changlang,0.26,CRITICAL
Oct,dahod,2.1,khairagarh chhuikhadan gandai,0.26,CRITICAL
Oct,ganganagar,2.1,indore,0.26,CRITICAL
Oct,lucknow,2.1,balodabazar bhatapara,0.26,CRITICAL
Oct,mon,2.1,viluppuram,0.26,CRITICAL
Oct,thiruvallur,2.1,maihar,0.26,CRITICAL
Oct,ghaziabad,2.1,jalpaiguri,0.26,CRITICAL
Oct,poonch,2.1,tirupati,0.26,CRITICAL
Oct,tirupati,2.1,mohla-manpur-ambagarh chouki,0.26,CRITICAL
Oct,hardoi,2.1,madhepura,0.26,CRITICAL
Oct,guna,2.1,east kameng,0.26,CRITICAL
Oct,leh,2.1,sri sathya sai,0.26,CRITICAL
Oct,jalgaon,2.1,sikar,0.26,CRITICAL
Oct,hazaribagh,2.1,panchkula,0.26,CRITICAL
Oct,neemuch,2.1,kulgam,0.26,CRITICAL
Oct,agra,2.1,north west,0.26,CRITICAL
Oct,papum pare,2.1,saiha,0.26,CRITICAL
Oct,salem,2.1,lakhimpur kheri,0.26,CRITICAL
Oct,rewari,2.1,idukki,0.26,CRITICAL
Oct,narayanpet,2.1,ambala,0.26,CRITICAL
Oct,kurukshetra,2.1,botad,0.26,CRITICAL
Oct,gonda,2.1,kakinada,0.26,CRITICAL
Oct,sonepur,2.1,bengaluru urban,0.26,CRITICAL
Oct,bankura,2.1,jind,0.26,CRITICAL
Oct,west kameng,2.1,east garo hills,0.26,CRITICAL
Oct,east garo hills,2.1,visakhapatnam,0.26,CRITICAL
Oct,mahabubnagar,2.09,tirunelveli,0.26,CRITICAL
Oct,fatehabad,2.09,malappuram,0.26,CRITICAL
Oct,durg,2.09,anantnag,0.26,CRITICAL
Oct,ernakulam,2.09,murshidabad,0.26,CRITICAL
Oct,jalandhar,2.09,mandi,0.26,CRITICAL
Oct,sri muktsar sahib,2.09,udham singh nagar,0.26,CRITICAL
Oct,purbi champaran,2.09,longleng,0.26,CRITICAL
Oct,pithoragarh,2.09,rohtas,0.26,CRITICAL
Oct,dhamtari,2.09,east,0.26,CRITICAL
Oct,siaha,2.09,narsimhapur,0.26,CRITICAL
Oct,jayashankar bhupalpally,2.09,dindori,0.26,CRITICAL
Oct,jhansi,2.09,khagaria,0.26,CRITICAL
Oct,jhalawar,2.09,kadapa,0.26,CRITICAL
Oct,sambalpur,2.09,koraput,0.26,CRITICAL
Oct,viluppuram,2.09,purba medinipur,0.26,CRITICAL
Oct,firozabad,2.09,balodabazar bhatapara,0.26,CRITICAL
Oct,chengalpattu,2.09,dharmapuri,0.26,CRITICAL
Oct,mohla manpur ambagarh chouki,2.09,chittoor,0.26,CRITICAL
Oct,varanasi,2.09,rayagada,0.26,CRITICAL
Oct,lakshadweep,2.09,khandwa (east nimar),0.26,CRITICAL
Oct,sivasagar,2.09,ahmedabad,0.26,CRITICAL
Oct,nashik,2.09,medchal malkajgiri,0.26,CRITICAL
Oct,dadra and nagar haveli,2.09,kannur,0.26,CRITICAL
Oct,malappuram,2.09,chennai,0.26,CRITICAL
Oct,lakhimpur kheri,2.09,gandhinagar,0.26,CRITICAL
Oct,hisar,2.09,mumbai suburban,0.26,CRITICAL
Oct,nagapattinam,2.09,satara,0.26,CRITICAL
Oct,cooch behar,2.09,vaishali,0.26,CRITICAL
Oct,lakhimpur,2.08,banka,0.26,CRITICAL
Oct,nawada,2.08,bhadradri kothagudem,0.26,CRITICAL
Oct,moradabad,2.08,sehore,0.26,CRITICAL
Oct,sawai madhopur,2.08,tehri garhwal,0.27,CRITICAL
Oct,raigad,2.08,anantnag,0.27,CRITICAL
Oct,satna,2.08,kadapa,0.27,CRITICAL
Oct,imphal west,2.08,ghaziabad,0.27,CRITICAL
Oct,jalore,2.08,north,0.27,CRITICAL
Oct,gondia,2.08,bhopal,0.27,CRITICAL
Oct,wanaparthy,2.08,sheohar,0.27,CRITICAL
Oct,sawai madhopur,2.08,warangal,0.27,CRITICAL
Oct,jaisalmer,2.08,dholpur,0.27,CRITICAL
Oct,ramanathapuram,2.08,niwari,0.27,CRITICAL
Oct,ranchi,2.08,west khasi hills,0.27,CRITICAL
Oct,krishna,2.08,saiha,0.27,CRITICAL
Oct,deogarh,2.08,sri sathya sai,0.27,CRITICAL
Oct,nashik,2.08,siang,0.27,CRITICAL
Oct,sheikhpura,2.08,chumoukedima,0.27,CRITICAL
Oct,ratnagiri,2.08,chengalpattu,0.27,CRITICAL
Oct,koraput,2.08,mahisagar,0.27,CRITICAL
Oct,nagpur,2.08,jhargram,0.27,CRITICAL
Oct,kishtwar,2.08,mokokchung,0.27,CRITICAL
Oct,gondia,2.08,khammam,0.27,CRITICAL
Oct,mahabubabad,2.08,kiphire,0.27,CRITICAL
Oct,shimla,2.08,south goa,0.27,CRITICAL
Oct,dindori,2.08,bundi,0.27,CRITICAL
